rank,rubber,speed,spin,control,tacky,weight,sponge_hardness,gears,throw_angle,consistency,durable,overall,ratings,price
125.,Adidas TenZone Ultra SF,9.0,9.2,9.3,2.4,4.2,4.1,7.9,4.8,9.2,8.2,9.3,14,$ 40.00
126.,Stiga Power LT,9.0,8.9,9.0,1.7,2.3,2.9,9.0,6.2,8.9,8.2,9.0,13,$ 30.00
127.,Stiga Carbo Sound,9.2,8.6,9.1,2.1,3.6,3.8,6.3,4.1,8.9,8.2,9.0,22,$ 36.00
128.,Nittaku Narucross EX Hard,9.2,8.9,8.5,3.3,4.3,6.8,9.1,4.8,10.0,8.2,9.3,11,$ 50.00
129.,Tibhar 1Q XD,9.4,9.1,8.3,3.5,6.0,7.4,8.6,6.0,9.4,8.2,9.4,22,$ 55.00
130.,Andro Hexer Powergrip,9.2,9.3,9.3,1.2,5.4,6.8,8.9,5.7,9.9,8.1,9.4,46,$ 48.00
131.,Nittaku Hammond CR,8.9,8.8,9.1,2.2,3.4,4.5,8.1,4.3,9.1,8.1,9.2,19,$ 35.00
132.,Butterfly Sriver G2 FX,7.9,8.2,8.4,1.9,3.9,2.4,7.8,3.1,8.7,8.1,8.4,27,$ 56.00
133.,Victas VS > 402 Double Extra,8.8,9.4,9.4,1.2,6.5,6.6,8.8,5.5,10.0,8.1,9.3,17,$ 35.00
134.,Nittaku Hammond Z2,9.3,9.3,9.1,2.1,3.6,6.8,8.4,6.6,9.5,8.1,9.5,78,$ 59.00
135.,Friendship/729 Battle II,8.7,9.2,9.0,8.6,6.0,8.0,8.2,5.6,8.4,8.1,9.1,54,$ 26.00
136.,DHS Hurricane 3 National (Orange Sponge),8.4,9.3,8.7,7.7,6.8,7.3,8.7,7.1,9.3,8.1,9.0,24,$ 77.00
137.,Tibhar Evolution EL-P,9.1,9.2,9.0,2.2,5.8,5.0,8.2,5.3,9.5,8.1,9.3,72,$ 40.00
138.,Yasaka Mark V GPS Soft,8.2,8.5,8.6,5.0,4.6,3.5,8.7,4.2,8.1,8.1,9.3,11,$ 35.00
139.,Gewo Hype XT Pro 50.0,9.3,9.3,9.1,2.2,6.1,7.7,8.7,5.9,8.9,8.1,9.4,27,$ 48.00
140.,Butterfly Dignics 64,9.4,9.2,8.9,1.7,4.6,6.2,8.9,4.0,9.5,8.1,9.3,17,$ 94.00
141.,TSP Regalis Red,9.3,9.4,9.1,0.7,3.8,5.2,8.0,5.8,9.6,8.1,9.1,16,$ 40.00
142.,Gewo Flexxon FX,9.0,9.2,9.1,1.3,3.5,4.2,7.5,6.3,8.6,8.1,9.3,15,$ 58.00
143.,Xiom Omega V Euro,9.1,9.3,9.1,2.1,5.5,5.6,8.5,5.9,9.6,8.1,9.3,45,$ 43.00
144.,Donic Acuda Blue P1 Turbo,9.4,9.3,8.9,2.4,5.2,6.5,7.7,5.3,9.3,8.1,9.0,18,$ 54.00
145.,Victas V > 01 Limber,8.7,9.4,9.4,1.4,3.5,3.6,8.5,4.9,9.6,8.1,9.4,48,$ 41.00
146.,Gewo Neoflexx EFT 48,8.0,9.4,9.3,2.4,5.5,6.7,7.0,4.8,8.7,8.1,9.3,20,$ 32.00
147.,Gewo NanoFlex FT48,9.4,9.4,9.1,1.0,4.9,6.7,8.8,5.3,9.2,8.1,9.4,26,$ 34.00
148.,Yasaka Shining Dragon,8.8,9.2,9.0,7.2,4.7,5.8,8.4,6.1,9.5,8.1,9.0,23,$ 37.00
149.,Adidas P5,8.9,9.3,9.0,2.7,4.3,6.9,7.8,5.7,9.2,8.1,9.1,27,$ 52.00
150.,Nittaku Renanos Hold,8.9,9.4,9.1,4.1,4.8,6.0,8.9,5.1,9.4,8.0,9.4,39,$ 40.00
151.,Yasaka Rakza 7,8.9,9.2,8.9,2.6,4.9,6.1,8.5,5.5,9.6,8.0,9.4,248,$ 52.00
152.,Andro Rasant PowerGrip,9.4,9.3,9.0,2.1,6.6,7.9,8.9,5.6,9.6,8.0,9.4,64,$ 35.00
153.,Yasaka Rakza X,9.0,9.0,9.0,2.2,4.9,6.6,8.4,4.7,9.6,8.0,9.2,63,$ 43.00
154.,Xiom Omega V Pro,9.0,9.1,9.1,2.7,5.5,6.3,8.8,5.4,9.6,8.0,9.2,32,$ 42.00
155.,Yinhe Jupiter 3 Asia,8.7,9.0,8.9,6.9,5.8,7.5,8.4,4.8,8.8,8.0,8.9,29,$ 18.00
156.,Nittaku Hurricane Pro III Turbo Blue,8.8,9.5,8.8,8.5,8.5,9.4,9.4,5.5,8.5,8.0,9.3,28,$ 45.00
157.,Dawei Inspirit,8.0,8.5,8.2,2.4,5.4,4.9,5.8,3.9,6.3,8.0,8.9,24,$ 12.00
158.,Victas VS > 402 Limber,8.7,9.5,9.4,1.9,3.6,3.3,8.5,6.2,10.0,8.0,9.2,15,$ 48.00
159.,Donic Slice 40,6.0,8.5,9.0,1.6,1.8,3.3,4.5,2.9,8.2,8.0,8.5,13,$ 44.00
160.,Donic J.O. Waldner,8.2,8.8,8.8,3.1,4.2,5.2,9.3,3.2,9.0,8.0,9.4,11,$ 37.00
161.,Sanwei Target National (New),9.0,9.3,8.9,8.8,5.5,7.7,8.8,4.5,8.5,8.0,9.5,11,$ 40.00
162.,Butterfly Tenergy 64,9.3,8.8,8.5,2.5,5.5,5.1,8.5,5.4,9.2,8.0,9.3,173,$ 80.00
163.,Yasaka Rising Dragon,8.9,9.5,9.3,6.0,5.5,6.5,9.1,4.4,8.7,8.0,9.4,73,$ 50.00
164.,KTL (LKT) Rapid Speed,8.5,8.5,8.5,3.3,4.4,5.8,7.0,3.4,8.9,8.0,8.7,55,$ 14.00
165.,DHS NEO Hurricane 3 Provincial (Blue Sponge),8.3,9.3,8.6,8.3,6.6,8.1,8.0,4.2,8.0,8.0,9.1,26,$ 100.00
166.,DHS NEO Hurricane 3 Provincial (Orange Sponge),8.6,9.4,9.0,7.8,6.5,7.3,9.0,5.6,8.0,8.0,9.3,51,$ 55.00
167.,Donic Bluefire JP 01 Turbo,9.3,9.4,8.4,3.8,5.3,6.5,8.6,6.0,9.4,8.0,9.2,25,$ 54.00
168.,Friendship/729 804 (Anti-spin),5.0,3.6,8.5,0.3,3.9,3.2,2.3,1.4,7.9,7.9,7.8,23,$ 10.00
169.,Nittaku Fastarc S-1,9.1,8.9,9.0,1.9,3.3,4.4,8.5,5.3,9.4,7.9,9.3,67,$ 42.00
170.,DHS Skyline TG3,8.6,9.0,8.6,8.2,6.8,8.5,7.2,4.5,7.7,7.9,8.9,56,$ 27.00
171.,DHS Hurricane 2 (H2),8.5,9.3,8.0,8.6,7.6,8.7,6.3,3.4,7.1,7.9,8.7,76,$ 22.00
172.,Yinhe Moon Pro,8.9,9.2,9.1,6.0,4.9,5.4,8.0,5.9,9.0,7.9,9.1,50,$ 32.00
173.,DHS Hurricane 3 (No. 19 Sponge),7.7,9.2,9.0,8.1,6.5,6.8,7.0,6.9,5.5,7.9,8.6,23,$ 60.00
174.,DHS Skyline TG2,7.5,8.6,8.5,7.1,6.4,7.7,6.8,4.8,6.3,7.9,7.9,21,$ 17.00
175.,Friendship/729 Focus 1,6.9,8.5,8.9,5.1,5.5,4.7,6.1,5.2,9.1,7.9,8.2,19,$ 14.00
176.,Donic Bluefire M3,8.4,9.1,8.9,1.8,5.3,3.1,8.1,7.2,8.9,7.9,8.9,51,$ 55.00
177.,Friendship/729 Faster 3 (Fenghun 3),8.9,8.8,8.8,6.2,4.9,4.8,6.6,5.6,7.5,7.9,8.9,17,$ 14.00
178.,Palio CJ8000 Biotech 40-42°,8.3,8.9,9.0,2.4,5.8,5.5,7.8,7.4,7.8,7.9,8.9,12,$ 16.00
179.,Nittaku Factive,8.5,8.6,9.1,1.6,3.4,5.2,7.0,5.0,9.7,7.9,9.0,25,$ 40.00
180.,Andro GTT 45,8.4,8.8,9.1,1.4,4.0,4.6,7.0,6.3,7.9,7.9,8.7,20,$ 45.00
181.,Nittaku Flyatt Soft,8.5,8.2,8.9,0.9,2.7,2.4,7.3,4.2,10.0,7.9,8.5,11,$ 46.00
182.,TSP Agrit Speed,9.0,9.0,9.0,3.1,5.3,6.6,7.8,6.8,8.3,7.9,9.3,11,$ 60.00
183.,DHS Skyline 3-60 Mid Hard,8.5,8.9,9.2,6.1,4.6,6.2,8.8,5.5,9.1,7.9,9.1,24,$ 25.00
184.,DHS Tin Arc,8.3,8.5,8.5,2.5,5.8,6.4,7.6,4.8,8.8,7.9,8.8,22,$ 43.00
185.,Tuttle Beijing 4,8.3,8.5,9.1,2.1,2.9,2.6,7.2,4.5,8.9,7.9,8.9,17,$ 12.00
186.,DHS Gold Arc 9,9.0,9.4,9.1,0.5,4.5,6.8,9.4,6.4,10.0,7.9,9.5,11,$ 38.00
187.,Xiom Omega IV Asia,9.2,9.0,8.8,2.3,4.5,7.2,8.8,5.4,9.6,7.9,9.4,48,$ 49.00
188.,Donic Bluestorm Z1 Turbo,9.4,9.0,8.2,1.8,5.9,7.9,8.0,3.9,9.3,7.9,9.1,37,$ 44.00
189.,TSP Ventus Speed,9.3,9.2,9.2,1.3,4.6,6.1,7.5,4.3,9.3,7.9,9.3,28,$ 42.00
190.,Cornilleau Target Pro GT-H47,9.3,9.2,8.7,2.4,6.3,6.7,8.9,6.6,9.0,7.9,9.1,28,$ 40.00
191.,Butterfly Sriver G2,8.4,8.2,8.6,2.5,4.1,5.0,5.9,4.1,9.3,7.9,8.7,20,$ 56.00
192.,DHS Hurricane 2 (No. 19 Sponge),8.7,9.0,8.7,6.9,5.3,5.3,6.3,5.8,6.4,7.9,8.8,10,$ 18.00
193.,Xiom Omega V Tour,9.2,9.4,9.3,1.8,5.8,6.8,9.1,5.2,9.4,7.9,9.3,57,$ 40.00
194.,JOOLA Mambo H,8.1,8.9,8.9,3.9,3.7,5.0,7.7,5.5,9.1,7.9,8.9,25,$ 38.00
195.,Stiga Boost TX,9.3,9.0,8.5,2.0,3.2,5.2,8.3,3.8,8.6,7.8,9.3,47,$ 55.00
196.,Friendship/729 General (Cross sponge),7.5,7.9,8.7,5.9,4.6,6.9,5.6,4.0,7.7,7.8,8.0,24,$ 6.00
197.,Yasaka Rigan,8.4,8.9,9.3,2.3,4.0,3.1,7.2,4.6,9.6,7.8,9.0,17,$ 35.00
198.,DHS NEO Hurricane 2,8.3,9.3,8.3,8.3,7.4,8.7,7.7,3.1,8.1,7.8,8.7,44,$ 22.00
199.,JOOLA Rhyzm,9.1,9.1,8.7,2.3,5.9,6.7,8.6,4.8,8.6,7.8,9.2,36,$ 40.00
200.,Xiom Vega Asia,8.9,8.4,8.5,2.5,4.2,5.6,7.8,4.5,9.1,7.8,8.9,53,$ 34.00
